"Time","Day_Type_ID","Total_Carriageway_Flow","Speed_Value","Intencity","Volume","Result"
"1/1/2014 0:00","14","42.00","105.43","168.00","1.5934743431661","0"
"1/1/2014 0:15","14","59.00","103.26","236.00","2.2854929304668","0"
"1/1/2014 0:30","14","79.00","98.71","316.00","3.2012967277885","0"
"1/1/2014 0:45","14","124.00","96.59","496.00","5.1351071539497","0"
"1/1/2014 1:00","14","151.00","99.45","604.00","6.0734037204625","0"
"1/1/2014 1:15","14","132.00","104.07","528.00","5.0735082156241","0"
"1/2/2014 1:30","14","178.00","103.91","712.00","6.8520835338274","0"
"1/3/2014 1:45","14","109.00","107.36","436.00","4.0611028315946","0"
"1/4/2014 2:00","14","144.00","105.32","576.00","5.469046714774","0"
"1/5/2014 2:15","14","128.00","107.51","512.00","4.7623476885871","0"
"1/6/2014 2:30","14","127.00","107.57","508.00","4.7225062749837","0"
"1/1/2014 2:45","14","94.00","107.47","376.00","3.4986507862659","0"
"1/1/2014 3:00","14","100.00","107.87","400.00","3.7081672383424","0"
"1/1/2014 3:15","14","79.00","105.95","316.00","2.9825389334592","0"
"1/1/2014 3:30","14","68.00","107.62","272.00","2.5274112618472","0"
"1/1/2014 3:45","14","79.00","109.19","316.00","2.89403791556","0"
"1/1/2014 4:00","14","76.00","107.3","304.00","2.8331780055918","0"
"1/1/2014 4:15","14","72.00","104.29","288.00","2.7615303480679","0"
"1/1/2014 4:30","14","72.00","105.55","288.00","2.728564661298","0"
"1/1/2014 4:45","14","42.00","108.51","168.00","1.5482444014377","0"
"1/1/2014 5:00","14","61.00","108.55","244.00","2.2478120681713","0"
"1/1/2014 5:15","14","58.00","104.25","232.00","2.2254196642686","0"
"1/1/2014 5:30","14","70.00","104.12","280.00","2.6892047637342","0"
"1/1/2014 5:45","14","73.00","107.46","292.00","2.7172901544761","0"
"1/1/2014 6:00","14","65.00","108.42","260.00","2.3980815347722","0"
"1/1/2014 6:15","14","69.00","109.5","276.00","2.5205479452055","0"
"1/1/2014 6:30","14","93.00","104.79","372.00","3.5499570569711","0"
"1/1/2014 6:45","14","72.00","108.91","288.00","2.6443852722431","0"
"1/1/2014 7:00","14","114.00","107.7","456.00","4.2339832869081","0"
"1/1/2014 7:15","14","96.00","106.21","384.00","3.6154787684775","0"
"1/1/2014 7:30","14","115.00","107.7","460.00","4.2711234911792","0"
"1/1/2014 7:45","14","125.00","110.38","500.00","4.5298061242979","0"
"1/1/2014 8:00","14","110.00","107.78","440.00","4.0823900538133","0"
"1/1/2014 8:15","14","150.00","109.57","600.00","5.4759514465638","0"
"1/1/2014 8:30","14","117.00","113.56","468.00","4.1211694258542","0"
"1/1/2014 8:45","14","121.00","110.02","484.00","4.3992001454281","0"
"1/1/2014 9:00","14","121.00","108.93","484.00","4.4432204167814","0"
"1/1/2014 9:15","14","139.00","109.48","556.00","5.0785531603946","0"
"1/1/2014 9:30","14","160.00","108.38","640.00","5.9051485513932","0"
"1/1/2014 9:45","14","163.00","109.14","652.00","5.9739783763973","0"
"1/1/2014 10:00","14","260.00","111.18","1040.00","9.3542003957546","0"
"1/1/2014 10:15","14","314.00","110.18","1256.00","11.399528045017","0"
"1/1/2014 10:30","14","366.00","109.41","1464.00","13.380860981629","0"
"1/1/2014 10:45","14","394.00","109.46","1576.00","14.397953590353","0"
"1/1/2014 11:00","14","408.00","106.31","1632.00","15.351331013075","0"
"1/1/2014 11:15","14","413.00","105.6","1652.00","15.643939393939","0"
"1/1/2014 11:30","14","515.00","102.71","2060.00","20.056469671892","0"
"1/1/2014 11:45","14","556.00","103.54","2224.00","21.479621402357","0"
"1/1/2014 12:00","14","500.00","101.77","2000.00","19.652156824211","0"
"1/1/2014 12:15","14","507.00","100.04","2028.00","20.271891243503","0"
"1/1/2014 12:30","14","589.00","101.7","2356.00","23.166175024582","0"
"1/1/2014 12:45","14","527.00","99.64","2108.00","21.156162183862","0"
"1/1/2014 13:00","14","585.00","99.92","2340.00","23.41873498799","0"
"1/1/2014 13:15","14","552.00","101.79","2208.00","21.691718243442","0"
"1/1/2014 13:30","14","504.00","100.16","2016.00","20.127795527157","0"
"1/1/2014 13:45","14","537.00","99.86","2148.00","21.510114159824","0"
"1/1/2014 14:00","14","537.00","99.7","2148.00","21.544633901705","0"
"1/1/2014 14:15","14","567.00","100.53","2268.00","22.560429722471","0"
"1/1/2014 14:30","14","497.00","102.76","1988.00","19.346049046322","0"
"1/1/2014 14:45","14","512.00","102.81","2048.00","19.920241221671","0"
"1/1/2014 15:00","14","520.00","103.08","2080.00","20.178502134265","0"
"1/1/2014 15:15","14","507.00","105.42","2028.00","19.23733636881","0"
"1/1/2014 15:30","14","489.00","102.27","1956.00","19.125843355823","0"
"1/1/2014 15:45","14","437.00","101.98","1748.00","17.140615807021","0"
"1/1/2014 16:00","14","476.00","100.3","1904.00","18.983050847458","0"
"1/1/2014 16:15","14","417.00","98.94","1668.00","16.858702243784","0"
"1/1/2014 16:30","14","373.00","96.85","1492.00","15.405265875065","0"
"1/1/2014 16:45","14","332.00","98.81","1328.00","13.439935229228","0"
"1/1/2014 17:00","14","395.00","97.12","1580.00","16.268533772652","0"
"1/1/2014 17:15","14","397.00","98.4","1588.00","16.138211382114","0"
"1/1/2014 17:30","14","424.00","99.6","1696.00","17.028112449799","0"
"1/1/2014 17:45","14","504.00","101.84","2016.00","19.795758051846","0"
"1/1/2014 18:00","14","572.00","100.35","2288.00","22.800199302441","0"
"1/1/2014 18:15","14","518.00","101.47","2072.00","20.419828520745","0"
"1/1/2014 18:30","14","447.00","103.56","1788.00","17.265353418308","0"
"1/1/2014 18:45","14","378.00","104.05","1512.00","14.531475252283","0"
"1/1/2014 19:00","14","383.00","104.87","1532.00","14.608562982741","0"
"1/1/2014 19:15","14","329.00","106.16","1316.00","12.396382818387","0"
